stock_id,score,return
000408,2.5649035,0.029224904701397676
002049,2.4348366,0.007434441741011066
601018,2.4214547,0.014184397163120477
601059,2.403356,0.0011520737327189734
600023,2.3374543,0.03839122486288858
601995,2.328348,0.0005866823115282868
000975,2.218444,0.08830389870043326
688187,2.1591585,-0.013389711064129598
601668,2.144155,0.021912350597609535
601058,2.1362565,-0.006821282401091374
600015,2.109954,0.026277372262773768
600919,2.1013873,0.0123927550047665
600795,2.0932133,0.043650793650793614
600674,2.0882852,0.06139777922926193
600233,2.0626051,0.03926701570680621
001965,2.0265799,0.03654822335025374
601229,1.9788458,0.0030927835051545224
601818,1.9631914,0.027863777089783204
003816,1.9532942,0.04556354916067149
601988,1.9385425,0.0
600019,1.9214696,0.008522727272727244
600018,1.9089777,0.021568627450980263
600926,1.9052223,0.03349573690621187
601298,1.9047351,-0.01069518716577531
000708,1.8958559,-0.004571428571428585
600039,1.8748884,-0.06824644549763034
601838,1.8654556,0.01718009478672989
600803,1.8636966,-0.027086063783311506
000538,1.8255856,0.006620146716765121
000895,1.8039216,0.02207505518763802
600025,1.8006676,0.027184466019417496
601169,1.7989912,0.014842300556586318
600886,1.7889084,0.08453757225433527
300347,1.7680104,-0.006077940650697131
300832,1.749777,-0.011215296929582586
688506,1.7316273,-0.0022570728100558077
601825,1.7008998,0.01289566236811261
601328,1.6972138,0.010401188707280915
002311,1.6943843,0.01813285457809697
601939,1.6933104,0.015624999999999972
601021,1.6817787,-0.012749331688258201
601186,1.6795638,0.023545706371191067
601398,1.6766653,0.011299435028248518
601077,1.643115,0.036036036036036036
601919,1.6332917,-0.012484394506866305
002493,1.6144187,-0.1510025062656642
600011,1.6135557,0.054376657824933596
000157,1.586899,-0.043298969072164906
601800,1.5807405,0.023514851485148505
000807,1.569667,0.016101207590569332
000963,1.5621042,0.004903374675511829
000425,1.5541744,-0.054681027340513555
000876,1.5367663,0.006764374295377658
605499,1.5341412,-0.034261241970021436
600115,1.5237254,-0.043121149897330596
600426,1.5146074,-0.04340909090909081
601916,1.5077893,0.026578073089701015
601998,1.5030198,0.02213001383125866
002352,1.4954768,0.017222525970475626
600377,1.4931321,0.022167487684728978
600029,1.4929292,-0.014150943396226356
688012,1.4740905,-0.045443425076452576
000333,1.4452746,0.016109863990492558
600660,1.4279146,0.011831275720164574
300979,1.4216208,0.022790202342917964
600905,1.4161853,0.04662004662004657
601816,1.4145633,0.007920792079208002
002422,1.3877784,0.013715710723191991
600027,1.3864822,0.042307692307692456
601009,1.3815207,-0.0026785714285714793
