date,num_stocks,hit_rate,pred_return_sum,max_return_sum,random_return_sum,final_score,pred_top5_stocks,true_top5_stocks
2025-01-20T00:00:00.000000000,298,0.0,729,1480,747.5,-0.025255972696245733,"[275, 276, 267, 68, 162]","[86, 66, 75, 60, 58]"
2025-01-27T00:00:00.000000000,298,0.0,517,1480,747.5,-0.3146757679180887,"[89, 91, 222, 162, 48]","[279, 105, 297, 23, 175]"
2025-02-05T00:00:00.000000000,298,0.2,529,1480,747.5,-0.2982935153583618,"[91, 47, 157, 41, 164]","[91, 105, 296, 205, 272]"
2025-02-06T00:00:00.000000000,298,0.4,896,1480,747.5,0.20273037542662117,"[275, 91, 68, 112, 81]","[237, 275, 91, 205, 158]"
2025-02-07T00:00:00.000000000,298,0.4,1111,1480,747.5,0.4962457337883959,"[275, 91, 252, 129, 15]","[107, 205, 91, 15, 276]"
2025-02-10T00:00:00.000000000,298,0.2,782,1480,747.5,0.04709897610921502,"[275, 81, 91, 157, 41]","[275, 205, 159, 222, 163]"
2025-02-11T00:00:00.000000000,298,0.2,481,1480,747.5,-0.36382252559726963,"[275, 81, 91, 78, 129]","[153, 275, 159, 120, 277]"
2025-02-12T00:00:00.000000000,298,0.0,790,1480,747.5,0.05802047781569966,"[275, 81, 91, 167, 3]","[222, 88, 287, 276, 100]"
2025-02-13T00:00:00.000000000,298,0.2,989,1480,747.5,0.3296928327645051,"[81, 275, 167, 3, 226]","[81, 88, 212, 159, 222]"
2025-02-14T00:00:00.000000000,298,0.2,946,1480,747.5,0.27098976109215017,"[167, 81, 275, 3, 78]","[81, 131, 212, 88, 222]"
2025-02-17T00:00:00.000000000,298,0.0,430,1480,747.5,-0.4334470989761092,"[167, 81, 275, 252, 71]","[279, 278, 138, 131, 158]"
2025-02-18T00:00:00.000000000,298,0.2,824,1480,747.5,0.10443686006825939,"[167, 109, 275, 71, 198]","[94, 167, 279, 138, 40]"
2025-02-19T00:00:00.000000000,298,0.0,901,1480,747.5,0.20955631399317406,"[167, 275, 109, 68, 58]","[81, 273, 94, 141, 59]"
2025-02-20T00:00:00.000000000,298,0.2,830,1480,747.5,0.11262798634812286,"[275, 167, 3, 68, 202]","[81, 167, 102, 279, 59]"
